Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418450561164,-566,-527,-1734,5,1,3,-219983297,-607833433,856910902,27768315,25330
1418450561166,-572,-526,-1736,5,0,3,-219976688,-607827931,856916988,27753296,25335
1418450561166,-573,-529,-1739,2,-1,3,-219971424,-607821045,856923526,27743929,25340
1418450561171,-574,-528,-1725,2,-1,3,-219966297,-607814172,856930014,27734772,25345
1418450561171,-582,-526,-1738,1,-2,4,-219961293,-607804243,856938533,27728851,25350
1418450561191,-571,-517,-1734,-1,-4,4,-219958837,-607792355,856947539,27730554,25355
1418450561191,-574,-523,-1729,-3,-7,2,-219951245,-607783824,856955143,27742774,25361
1418450561193,-576,-517,-1738,-5,-8,2,-219945508,-607773982,856962987,27761579,25366
1418450561194,-582,-527,-1725,-4,-9,2,-219935237,-607764618,856971702,27778927,25371
1418450561200,-586,-516,-1738,-5,-10,3,-219926195,-607752150,856982174,27800218,25376
1418450561200,-586,-520,-1735,-3,-8,3,-219917521,-607740912,856991979,27812256,25381
1418450561232,-580,-525,-1743,-1,-10,4,-219901523,-607728420,857004601,27822788,25386
1418450561232,-579,-533,-1738,-1,-8,3,-219889400,-607718581,857014405,27831534,25391
1418450561235,-576,-529,-1746,-1,-7,1,-219880075,-607713423,857020156,27840716,25396
1418450561235,-584,-525,-1739,-2,-6,1,-219873737,-607707848,857025423,27850331,25401
1418450561237,-568,-526,-1742,-3,-8,1,-219865275,-607701278,857031791,27864544,25407
1418450561237,-570,-531,-1730,-3,-6,0,-219859762,-607697548,857035435,27877319,25412
1418450561240,-567,-527,-1738,-3,-6,-1,-219855259,-607696010,857037232,27891096,25417
1418450561240,-564,-521,-1731,-2,-3,-1,-219855071,-607695374,857037523,27897501,25422
1418450561272,-561,-533,-1745,-2,-5,-1,-219850005,-607694582,857039081,27906808,25427
1418450561272,-564,-530,-1746,-1,-3,-2,-219847617,-607697036,857037768,27912482,25432
1418450561275,-571,-537,-1742,3,0,-4,-219843208,-607706461,857032413,27906444,25437
1418450561275,-562,-530,-1731,2,0,-4,-219841697,-607715151,857026754,27902904,25442
1418450561277,-570,-527,-1736,2,1,-3,-219841812,-607721740,857022239,27897183,25447
1418450561277,-561,-521,-1725,3,1,-4,-219840533,-607731016,857016259,27888870,25453
1418450561280,-570,-524,-1734,1,1,-4,-219841824,-607739235,857010218,27885245,25458
1418450561280,-563,-513,-1737,0,1,-2,-219845457,-607742159,857007307,27882331,25463
1418450561313,-572,-525,-1749,0,1,-2,-219847607,-607745202,857004712,27878818,25468
1418450561313,-568,-524,-1731,-1,1,-3,-219856200,-607749360,856999543,27879301,25473
